Hugo_Symbol	Entrez_Gene_Id	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01
	100130426	-2.2635	-2.2635	-2.2635	-2.2635	-2.2635	-2.2635	-2.2635	-2.2635	-2.2635	-2.2635
	100133144	0.1557	1.6416	-1.7488	-1.0014	-2.2049	0.7002	-0.2604	0.8031	-0.4774	0.9133
UBE2Q2P2	100134869	0.0096	0.0599	-0.9737	0.8455	0.8184	1.7167	1.3022	0.6549	-0.0504	2.2349
HMGB1P1	10357	0.3928	-0.5735	1.8915	-0.0921	-0.491	-1.1825	0.1399	0.6376	0.3291	0.2291
	10431	0.0311	-0.1976	0.224	1.1481	0.5839	-1.3358	-0.8435	-0.9405	-0.3975	-0.2868
	136542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	155060	-0.7724	0.0917	-0.0383	0.9229	-0.9899	0.8917	0.8101	0.7108	0.9597	1.6683
RNU12-2P	26823	-0.89	-0.1096	-2.3425	-2.3425	-2.3425	-0.5646	-2.3425	-2.3425	0.713	1.4402
SSX9P	280660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	317712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZHIP	340602	-0.7417	-1.4532	-1.4532	-1.4532	0.5981	-1.4532	-1.4532	-0.1561	-1.4532	-1.4532
EFCAB8	388795	-0.8963	-0.9661	0.7841	-1.4985	1.3052	-0.2677	-1.4985	0.5388	-0.5489	-0.1395
SRP14P1	390284	-0.2049	-1.2093	-0.4426	-0.0527	0.8459	-2.2199	-1.0879	-1.1439	-0.3794	-0.8686
	391343	0.3006	-0.8064	0.6152	0.2396	-1.9863	-1.9863	-1.9863	-0.1867	-1.9863	-1.9863
TRIM75P	391714	-1.3223	-1.3223	-1.3223	-1.3223	-1.3223	-1.3223	-1.3223	-1.3223	-1.3223	-1.3223
SPATA31B1P	404770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REXO1L6P	441362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDR16C6P	442388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	553137	0.6705	1.2515	-1.9689	-0.9857	1.0812	-1.367	-0.3174	0.6249	0.7711	-1.9154
	57714	-0.2421	0.0776	-0.0172	-0.1889	-1.0388	-0.5133	-0.4908	1.7066	0.1569	0.2722
	645851	-0.6114	0.6346	0.2912	0.7602	-1.9646	1.6213	0.6975	1.3492	0.2128	0.4473
	652919	-2.2122	-3.0509	-3.0509	-3.0509	-3.0509	0.6777	-3.0509	-0.5583	0.3354	-1.8108
HSPB1P1	653553	1.6121	0.3344	-0.4593	-0.9553	-0.0651	-0.0822	-1.4811	-0.4316	0.3659	0.2912
PPBPP1	728045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	728603	-2.9999	-2.9999	-2.9999	-2.9999	-2.9999	-2.9999	-2.9999	-2.9999	-2.9999	-2.9999
ANKRD20A20P	728788	-2.0077	-1.0992	-0.0045	-2.0077	0.9546	1.2361	-2.0077	-1.2232	-2.0077	-2.0077
	729884	-1.0865	-1.1424	1.6947	-0.7861	-0.3019	1.8687	1.5414	-0.8165	-0.1177	2.0417
GTPBP6	8225	-0.1164	-0.0164	-1.0388	-0.4937	-0.045	-0.0099	-0.165	0.2056	-0.3482	1.5528
EFCAB12	90288	0.367	0.41	-0.4499	0.6941	-0.1424	0.5462	0.4919	-0.4521	0.85	-0.6053
A1BG	1	-0.0438	-0.5311	-0.0334	-0.527	0.2973	0.2135	-0.0852	0.1216	-0.6324	-0.1377
A1CF	29974	-0.1756	0.4014	-1.0142	0.0462	-0.3039	-0.4039	-1.6594	0.9846	0.521	-2.7786
A2BP1	54715	-0.837	0.2593	-1.4292	-1.4292	-0.3435	-1.4292	-1.4292	0.7061	-0.1834	-0.9678
A2LD1	87769	0.8995	-0.0718	0.6968	0.9577	0.7403	-0.296	0.3116	-0.0379	1.646	-1.3992
A2M	2	0.5294	0.1765	-0.8256	0.0243	0.869	-0.5183	-0.4011	0.4532	0.0645	-2.1426
A2ML1	144568	0.5302	-1.3729	1.8264	-0.1426	1.3836	1.5148	0.4711	-0.2339	-0.6242	1.61
A4GALT	53947	1.5382	1.1187	1.0756	-0.4461	1.0812	0.246	0.413	-0.6886	-0.6368	-1.1506
A4GNT	51146	1.6215	0.2804	-1.6176	-0.6606	0.3148	-0.8799	0.1001	0.8296	-0.2433	-1.7574
AAA1	404744	-0.0473	-1.1567	-0.5143	-0.684	-1.6898	2.8407	-1.6898	1.1903	0.2598	-1.6898
AAAS	8086	0.1241	-0.8554	0.9103	0.7527	1.042	-0.2394	0.2291	-0.0663	-0.9774	-0.1894
